source,index,text
unknown,10,Program Contact Email | {{orgContactEmail}}
unknown,11,Author
unknown,12,Homepage URL
unknown,13,Frequency | Irregular
unknown,14,Temporal Coverage
unknown,15,Granularity
unknown,16,Geographic Coverage Location
unknown,17,Spatial
unknown,18,Data Standard
unknown,19,Language
unknown,20,Source Link | https://gis.data.ca.gov/apps/cacensus::california-wildfire-housing-losses-2013-2023
unknown,21,Additional Information
unknown,22,Related Resources
unknown,23,Secondary Sources
unknown,24,Citation
unknown,0,WHITWORTH | 5.0
unknown,1,KAISER | 5.0
unknown,2,JACKSON | 2.0
unknown,3,CARBON | 9.0
unknown,4,LIBERTY | 14.0
unknown,5,CLAY | 14.0
unknown,6,PAICINES | 10.0
unknown,7,VINEYARD | 14.0
unknown,8,SLACKS | 10.0
unknown,9,IDRIA | 14.0
unknown,10,WONDER | 6.0
unknown,11,PINE | 2.0
unknown,12,OLIVE | 2.0
unknown,13,TURKEY | 7.0
unknown,14,VIRGINIA | 4.0
unknown,15,RABBIT | 10.0
unknown,16,HIGHLAND | 14.0
unknown,17,RECHE | 7.0
unknown,18,GAVILAN | 14.0
unknown,19,RAMONA | 2.0
unknown,20,CEMETERY | 14.0
unknown,21,1-10 | 1.0
unknown,22,CANA | 11.0
unknown,23,MISTY | 2.0
unknown,24,HIGHLAND | 9.0
unknown,25,PLYMOUTH | 5.0
unknown,26,WALL | 7.0
unknown,27,HOSTLY | 11.0
unknown,28,ADOBE | 14.0
unknown,29,LAZY | 14.0
unknown,30,BITTER | 14.0
unknown,31,LAVENDER  | 2.0
unknown,32,POND | 14.0
unknown,33,ELK | 14.0
unknown,34,TOLL | 14.0
unknown,35,POINT | 2.0
unknown,36,PENTLAND | 14.0
unknown,37,LITTLE | 5.0
unknown,38,ELK | 11.0
unknown,39,TANK | 14.0
unknown,40,FAMOSO | 14.0
unknown,41,LAST | 14.0
unknown,42,POST | 14.0
unknown,43,WATER | 14.0
unknown,44,CHAMPAGNE | 11.0
unknown,45,TRUCK | 14.0
unknown,46,ROUND | 14.0
unknown,47,CANYON | 14.0
unknown,48,SOUTH 2 | 14.0
unknown,49,TREE | 14.0
unknown,50,BAKER | 14.0
unknown,51,MID | 14.0
unknown,52,DISTRICT | 14.0
unknown,53,BODFISH | 14.0
unknown,54,SCODIE | 14.0
unknown,55,BEALE | 14.0
unknown,56,HABERKERN | 14.0
unknown,57,COMANCHE | 14.0
unknown,58,EAST | 14.0
unknown,59,EDMONSTON | 14.0
unknown,60,ALMOND | 14.0
unknown,61,BOULEVARD | 14.0
unknown,62,BRITE | 14.0
unknown,63,GENERAL | 1.0
unknown,64,TROTTER | 14.0
unknown,65,GROVE | 14.0
unknown,66,BLACKWELL | 1.0
unknown,67,SEMI | 10.0
unknown,68,DEN | 14.0
unknown,69,ROLLING | 14.0
unknown,70,TULE | 14.0
unknown,71,CALIENTE  | 14.0
unknown,72,FLAT | 14.0
unknown,73,TOWER  | 14.0
unknown,74,POSO  | 14.0
unknown,75,BLUE BARN  | 14.0
unknown,76,CORNER | 14.0
unknown,77,ROCK | 14.0
unknown,78,SKY | 14.0
unknown,79,LIERLY | 14.0
unknown,80,ANNETTE | 14.0
unknown,81,CREEK | 14.0
unknown,82,SHERWOOD | 14.0
unknown,83,CROCKER | 14.0
unknown,84,BRONZE | 14.0
unknown,85,KERN | 14.0
unknown,86,LINE | 14.0
unknown,87,FIELD | 14.0
unknown,88,FANO | 14.0
unknown,89,FANO 2 | 14.0
unknown,90,FRONT | 14.0
unknown,91,HOLLOW | 14.0
unknown,92,PLANT | 11.0
unknown,93,SUN | 2.0
unknown,94,GRADE | 10.0
unknown,95,SCOTT | 14.0
unknown,96,PEOIRA | 14.0
unknown,97,SICARD | 11.0
unknown,98,TULE 2 | 14.0
unknown,99,RANCHO | 14.0
unknown,100,PINE | 14.0
unknown,101,WHISKEY | 2.0
unknown,102,WILLIAMS | 9.0
unknown,103,TRAIL | 14.0
unknown,104,VILLANOVA | 14.0
unknown,105,SOUTH | 14.0
unknown,106,ROCK | 14.0
unknown,107,BONNY | 14.0
unknown,108,WILLIAMS | 9.0
unknown,109,TANWOODS | 14.0
unknown,110,FOOTHILLS | 14.0
unknown,111,BREWER | 14.0
unknown,112,ERIC | 14.0
unknown,113,SPENCEVILLE | 2.0
unknown,114,DOOLITTLE | 14.0
unknown,115,GANN | 14.0
unknown,116,HAZEL | 15.0
unknown,117,BITTER | 10.0
unknown,118,BEAR | 4.0
unknown,119,HILL | 10.0
unknown,120,ESTRELLA | 3.0
unknown,121,GREEN | 11.0
unknown,122,SHORES | 2.0
unknown,123,DIABLO | 2.0
unknown,124,SUMMIT | 14.0
unknown,125,BRIDGE | 4.0
unknown,126,ROCK | 2.0
unknown,127,ALMOND | 2.0
unknown,128,VALLEY | 2.0
unknown,129,JARDINE | 2.0
unknown,130,GREEN | 14.0
unknown,131,NEAL | 2.0
unknown,132,BOULDER | 11.0
unknown,133,JARDINE | 3.0
unknown,134,FRANKLIN | 14.0
unknown,135,OAK | 5.0
unknown,136,SHELL | 10.0
unknown,137,WILLOW | 10.0
unknown,138,CATTLE | 9.0
unknown,139,TOPAZ | 11.0
unknown,140,WINEMAN | 7.0
unknown,141,PANZA | 10.0
unknown,142,CREST | 5.0
unknown,143,BITTER | 10.0
unknown,144,TOWNSITE | 10.0
unknown,145,58 CARRIZO | 10.0
unknown,146,GENESEO | 14.0
unknown,147,MOSS | 2.0
unknown,148,RANGE | 5.0
unknown,149,SNELL | 7.0
unknown,150,AIRPORT | 10.0
unknown,151,WILDCAT 2 | 14.0
unknown,152,COYOTE | 14.0
unknown,153,COUSER 2 | 14.0
unknown,154,BLACKWOOD | 14.0
unknown,155,RUBY | 2.0
unknown,156,DURA | 2.0
unknown,157,BORDER 14 | 14.0
unknown,158,BORDER 30 | 14.0
unknown,159,BORDER 13 | 14.0
unknown,160,GREY | 2.0
unknown,161,MAIN | 11.0
unknown,162,PECWAN | 14.0
unknown,163,PARK | 10.0
unknown,164,ROBIN | 7.0
unknown,165,JOHNSON | 14.0
unknown,166,ALMOND | 14.0
unknown,167,HOMESTEAD | 14.0
unknown,168,BROADWAY | 14.0
unknown,169,66 | 14.0
unknown,170,VEGA | 7.0
unknown,171,ORANGE | 2.0
unknown,172,RODEO | 7.0
unknown,173,STRIKE | 1.0
unknown,174,GEORGE | 10.0
unknown,175,CRANE | 2.0
unknown,176,PECK | 10.0
unknown,177,BRIDGE | 10.0
unknown,178,PISTOL | 9.0
unknown,179,WINCHELL | 14.0
unknown,180,JUNIPER | 10.0
unknown,181,POWER | 9.0
unknown,182,LONG | 15.0
unknown,183,VICTOR | 4.0
unknown,184,SAGE | 14.0
unknown,185,WHIPPLE | 4.0
unknown,186,RIVER | 9.0
unknown,187,CORCORAN | 10.0
unknown,188,NOB | 14.0
unknown,189,RINCONADA | 14.0
unknown,190,GIFFORD | 14.0
unknown,191,CARAWAY | 1.0
unknown,192,BONE | 14.0
unknown,193,TECUYA | 14.0
unknown,194,VISTA | 14.0
unknown,195,PEAK | 14.0
unknown,196,RABBIT | 14.0
unknown,197,SPRING | 14.0
unknown,198,RIM | 14.0
unknown,199,SULPHER | 14.0
unknown,200,QUARRY | 14.0
unknown,201,DRY | 14.0
unknown,202,COTTON | 9.0
unknown,203,DEEP | 14.0
unknown,204,YORK | 14.0
unknown,205,LOST | 1.0
unknown,206,BRIDGE RIDGE | 1.0
unknown,207,DEVIL | 1.0
unknown,208,PIKA | 1.0
unknown,209,REDWOOD | 1.0
unknown,210,SYCAMORE | 2.0
unknown,211,PANOCHE | 9.0
unknown,212,BORDER 34 | 14.0
unknown,213,BORDER 42 | 14.0
unknown,214,VALLEY | 1.0
unknown,215,GEOLOGY | 10.0
unknown,216,WOLF CREEK | 14.0
unknown,217,HILL | 14.0
unknown,218,JANES | 14.0
unknown,219,JESS | 14.0
unknown,220,MULE | 14.0
unknown,221,L-1 BRANCH FISH | 14.0
unknown,222,STINE | 14.0
unknown,223,MONTE | 14.0
unknown,224,SLIDE 1 | 1.0
unknown,225,HIGHWAY | 14.0
unknown,226,ROAD | 14.0
unknown,227,CREEK | 14.0
unknown,228,PILOT | 14.0
unknown,229,LANE | 14.0
unknown,230,AVENALES | 14.0
unknown,231,AGUA | 14.0
unknown,232,KING | 9.0
unknown,233,WILDCAT | 1.0
unknown,234,COWTRACK | 14.0
unknown,235,IMVITE | 10.0
unknown,236,STODDARD | 14.0
unknown,237,GOLF | 14.0
unknown,238,HORN | 14.0
unknown,239,KERTO | 14.0
unknown,240,MINERAL | 14.0
unknown,241,GRADE | 9.0
unknown,242,KNOLL | 14.0
unknown,243,MAJORS | 14.0
unknown,244,MEADOW | 14.0
unknown,245,BORDER 38 | 14.0
unknown,246,MIDWAY | 14.0
unknown,247,NONAME | 14.0
unknown,248,GRANITE | 4.0
unknown,249,ARROW | 10.0
unknown,250,Winterhaven Drive | 14.0
unknown,251,Winterhaven | 14.0
unknown,252,Laguna | 14.0
unknown,253,R-1 Spencer Basin | 1.0
unknown,254,BREEZE | 14.0
unknown,255,TRAM | 14.0
unknown,256,BUNNIE | 14.0
unknown,257,ASH | 1.0
unknown,258,RANCH | 1.0
unknown,259,LONG | 1.0
unknown,260,PILOT | 1.0
unknown,261,QUAIL 2 | 7.0
unknown,262,KELLY | 14.0
unknown,263,3-9 | 14.0
unknown,264,TOWNSEND | 1.0
unknown,265,SCOTT | 1.0
unknown,266,LAKE | 1.0
unknown,267,DEN | 1.0
unknown,268,HANCOCK | 1.0
unknown,269,PEARCH | 1.0
unknown,270,LET ER-BUCK | 1.0
unknown,271,IRON | 1.0
unknown,272,PRESCOTT | 14.0
unknown,273,ELLIOT | 1.0
unknown,274,TITUS | 1.0
unknown,275,UFISH | 1.0
unknown,276,MARLOW | 1.0
unknown,277,HURDY GURDY | 14.0
unknown,278,CORRAL | 14.0
unknown,279,DIAMOND | 14.0
unknown,280,ISLAND | 14.0
unknown,281,LONE PINE | 1.0
unknown,282,MOSQUITO | 1.0
unknown,283,HEAD | 1.0
unknown,284,AIRPORT | 14.0
unknown,285,DENIZ | 14.0
unknown,286,RANCHO | 14.0
unknown,287,TOWER | 7.0
unknown,288,BURROWS | 18.0
unknown,289,NELSON | 14.0
unknown,290,NINETY-NINE | 14.0
unknown,291,NELSON | 14.0
unknown,292,PARK | 14.0
unknown,293,SANDRA | 2.0
unknown,294,JAN-DAR | 14.0
unknown,295,RAIL | 9.0
unknown,296,CANFIELD | 14.0
unknown,297,CANYON | 9.0
unknown,298,HIGHWAY | 7.0
unknown,299,BRUNS | 2.0
unknown,300,CANYON | 9.0
unknown,301,DEER | 7.0
unknown,302,WILLOW | 2.0
unknown,303,HIGHLAND | 9.0
unknown,304,PASS | 10.0
unknown,305,MIDWAY | 10.0
unknown,306,TESLA | 10.0
unknown,307,KIRKER | 10.0
unknown,308,FLYNN | 10.0
unknown,309,PASS | 14.0
unknown,310,FLYNN | 14.0
unknown,311,SCENIC | 10.0
unknown,312,CAMINO | 14.0
unknown,313,3-8 DIXON | 1.0
unknown,314,DONICA | 10.0
unknown,315,EDEN | 10.0
unknown,316,HURLETON | 14.0
unknown,317,HESPERIA | 2.0
unknown,318,BIGGS | 2.0
unknown,319,PINECREST | 2.0
unknown,320,OREGON | 7.0
unknown,321,FORK | 10.0
unknown,322,OAK | 14.0
unknown,323,ROMERO | 14.0
unknown,324,EDGEWOOD | 11.0
unknown,325,AGUA | 10.0
unknown,326,CANYON | 14.0
unknown,327,MCCOVEY | 14.0
unknown,328,RANCH | 14.0
unknown,329,FORWARD | 10.0
unknown,330,RAINBOW | 7.0
unknown,331,PIGEON | 9.0
unknown,332,BARRY | 9.0
unknown,333,FRANKLIN | 10.0
unknown,334,EVITA | 14.0
unknown,335,NELSON | 14.0
unknown,336,PLEASANT | 10.0
unknown,337,NELDA | 14.0
unknown,338,LATROBE | 2.0
unknown,339,GRANT | 7.0
unknown,340,ELECTRA | 14.0
unknown,341,COAL | 7.0
unknown,342,SPLAWN | 14.0
unknown,343,SYLVANDALE | 14.0
unknown,344,VALE | 2.0
unknown,345,NELSON | 2.0
unknown,346,NOME | 9.0
unknown,347,OWENS | 9.0
unknown,348,BELL | 2.0
unknown,349,WALKER | 10.0
unknown,350,MARMOT | 14.0
unknown,351,HOUSE | 2.0
unknown,352,LOPER | 14.0
unknown,353,POWER | 10.0
unknown,354,COBBLE | 2.0
unknown,355,PEBBLE | 15.0
unknown,356,HOPE | 2.0
unknown,357,TABLE | 14.0
unknown,358,WALL | 2.0
unknown,359,SCARFACE | 14.0
unknown,360,SHACKLEFORD | 1.0
unknown,361,97 | 14.0
unknown,362,SLOUGH | 14.0
unknown,363,MOUNTAIN | 14.0
unknown,364,MILL | 14.0
unknown,365,WILDERNESS | 5.0
unknown,366,WHITLOW | 14.0
unknown,367,MEAMBER | 1.0
unknown,368,EVERGREEN | 14.0
unknown,369,EMPIRE | 1.0
unknown,370,RIDGE | 14.0
unknown,371,COYOTE | 1.0
unknown,372,GULCH | 14.0
unknown,373,SLATE 2 | 6.0
unknown,374,WOODS | 14.0
unknown,375,HOLLISTER | 7.0
unknown,376,BLOOMFIELD | 18.0
unknown,377,BRANDIE | 2.0
unknown,378,NISEMAN | 2.0
unknown,379,SHERIDAN | 10.0
unknown,380,MIRABELLE | 15.0
unknown,381,RICES | 15.0
unknown,382,BUTTERFIELD | 14.0
unknown,383,BAYBERRY | 7.0
unknown,384,PORTER | 2.0
unknown,385,RIOSA | 3.0
unknown,386,APPLE | 11.0
unknown,387,SPENCEVILLE | 9.0
unknown,388,BEAR | 2.0
unknown,389,OAK | 10.0
unknown,390,OWL | 10.0
unknown,391,STILL | 2.0
unknown,392,AIRPORT | 14.0
unknown,393,WINDING | 11.0
unknown,394,HILL | 5.0
unknown,395,DUTCH | 14.0
unknown,396,NADER | 10.0
unknown,397,GARDEN BAR | 7.0
unknown,398,RUN | 2.0
unknown,399,PROVENZA | 5.0
unknown,400,COLORADO | 5.0
unknown,401,AGUAJITO | 11.0
unknown,402,ANZAR | 11.0
unknown,403,BETABEL  | 10.0
unknown,404,COASTAL | 11.0
unknown,405,EMERALD | 14.0
unknown,406,KING | 7.0
unknown,407,ALPAUGH 2 | 14.0
unknown,408,DUNE | 7.0
unknown,409,ROBERT | 14.0
unknown,410,MORGAN | 14.0
unknown,411,R-1 PIT | 1.0
unknown,412,MESA | 14.0
unknown,413,VIEWLAND | 14.0
unknown,414,R-3 VINCENT | 1.0
unknown,415,CHIMNEY | 14.0
unknown,416,WATER | 14.0
unknown,417,LERDO | 14.0
unknown,418,JUMPER | 14.0
unknown,419,HART | 14.0
unknown,420,RIVER | 14.0
unknown,421,PURPLE | 14.0
unknown,422,PLANT | 14.0
unknown,423,GRAPE | 14.0
unknown,424,LOST HILLS | 2.0
unknown,425,THUNDER | 1.0
unknown,426,RANCH | 14.0
unknown,427,JACK | 1.0
unknown,428,BROOME | 10.0
unknown,429,SCRAPER | 14.0
unknown,430,GENERAL | 14.0
unknown,431,CUMMINGS | 14.0
unknown,432,EDISON | 14.0
unknown,433,TULE | 14.0
unknown,434,BEAR | 10.0
unknown,435,CENTER | 14.0
unknown,436,OAKS | 14.0
unknown,437,COMANCHE | 14.0
unknown,438,BEALE | 14.0
unknown,439,RANGE | 14.0
unknown,440,VINE | 14.0
unknown,441,RAIL | 14.0
unknown,442,UPLAND | 14.0
unknown,443,BEAR | 10.0
unknown,444,KING | 14.0
unknown,445,ROW | 14.0
unknown,446,FORT | 10.0
unknown,447,SYCAMORE | 14.0
unknown,448,ROBERTS | 14.0
unknown,449,PASS | 14.0
unknown,450,SAND | 14.0
unknown,451,FREEWAY | 14.0
unknown,452,CURVE | 14.0
unknown,453,KERTO | 14.0
unknown,454,EDMONSTON | 14.0
unknown,455,AIRLINE | 10.0
unknown,456,BIANCHI | 2.0
unknown,457,GARRISON | 11.0
unknown,458,ALTA | 14.0
unknown,459,REDWOOD | 10.0
unknown,460,SANDIA | 10.0
unknown,461,HAUSER | 14.0
unknown,462,BORDER 10 | 4.0
unknown,463,FELIPE | 5.0
unknown,464,BORDER 13 | 7.0
unknown,465,BARRETT 4 | 7.0
unknown,466,BORDER 16 | 7.0
unknown,467,BORDER 15 | 14.0
unknown,468,BORDER 18 | 14.0
unknown,469,MESA 4 | 9.0
unknown,470,BORDER 19 | 7.0
unknown,471,JEWEL | 2.0
unknown,472,BORDER 22 | 7.0
unknown,473,BORDER 27 | 14.0
unknown,474,BORDER 26 | 7.0
unknown,475,BORDER 21 | 14.0
unknown,476,CASNER | 2.0
unknown,477,BORDER 31 | 14.0
unknown,478,BORDER 32 | 14.0
unknown,479,CAESAR | 10.0
unknown,480,ALPINE | 7.0
unknown,481,JIM | 14.0
unknown,482,BARNEY | 9.0
unknown,483,GOLDEN | 9.0
unknown,484,BOUQUET | 14.0
unknown,485,GRAHAM | 14.0
unknown,486,SHEEP | 14.0
unknown,487,WAGON TRAIN | 9.0
unknown,488,SIERRA | 14.0
unknown,489,CASUSE  | 14.0
unknown,490,MCKINNEY | 14.0
unknown,491,YETI | 14.0
unknown,492,KELSEY | 14.0
unknown,493,MCGINTY | 1.0
unknown,494,AMMON | 14.0
unknown,495,CAMPBELL | 14.0
unknown,496,WISHON | 14.0
unknown,497,BRONCO | 9.0
unknown,498,EAST | 14.0
unknown,499,GULCH | 14.0
unknown,500,VALLEY | 14.0
unknown,501,PLUM | 9.0
unknown,502,RADFORD  | 9.0
unknown,503,MOSQUITO | 9.0
unknown,504,BARNES | 1.0
unknown,505,BIG BAR | 14.0
unknown,506,NAVAJO | 9.0
unknown,507,PAYMASTER | 9.0
unknown,508,GEORGE | 14.0
unknown,509,WILLOW | 1.0
unknown,510,CACTUS  | 9.0
unknown,511,CHERRY | 14.0
unknown,512,MANZANITA | 9.0
unknown,513,SMOKEY | 14.0
unknown,514,ELIZA | 14.0
unknown,515,CASTILE | 9.0
unknown,516,POWER | 11.0
unknown,517,BRANSTETTER | 4.0
unknown,518,PETER | 15.0
unknown,519,HOBBY | 14.0
unknown,520,FLANAGAN | 5.0
unknown,521,WINEMAN | 7.0
unknown,522,CAMINO | 9.0
unknown,523,TEFT | 10.0
unknown,524,PRICE | 4.0
unknown,525,MEADOW | 2.0
unknown,526,ESTRELLA | 11.0
unknown,527,WILSON | 5.0
unknown,528,BENITO | 14.0
unknown,529,EAGLE | 14.0
unknown,530,LOPEZ | 9.0
unknown,531,TOPAZ | 9.0
unknown,532,MARIA | 9.0
unknown,533,CANYON | 9.0
unknown,534,BARREL | 9.0
unknown,535,CUT OFF | 14.0
unknown,536,HUGHES | 10.0
unknown,537,SYCAMORE | 14.0
unknown,538,SAM | 14.0
unknown,539,QUAIL | 14.0
unknown,540,RIDGE | 14.0
unknown,541,TIERRA | 14.0
unknown,542,ROUTE | 14.0
unknown,543,MUNZ | 14.0
unknown,544,CHESEBORO | 14.0
unknown,545,LOBO | 14.0
unknown,546,OAKWILDE | 10.0
unknown,547,PYRAMID | 10.0
unknown,548,CANYON | 7.0
unknown,549,WINDWOOD | 10.0
unknown,550,ROSA | 9.0
unknown,551,BULL | 2.0
unknown,552,SUEY | 2.0
unknown,553,FAIRVIEW | 11.0
unknown,554,HARBISON 2 | 2.0
unknown,555,WATT | 11.0
unknown,556,OLD | 14.0
unknown,557,ROBLAR | 2.0
unknown,558,FAIRVIEW | 14.0
unknown,559,ESTATES | 16.0
unknown,560,SNOW | 4.0
unknown,561,ELK TRAIL | 7.0
unknown,562,WASHBURN | 7.0
unknown,563,RED | 1.0
unknown,564,RODGERS | 1.0
unknown,565,AVALANCHE | 1.0
unknown,566,SUMMIT | 1.0
unknown,567,ASPEN | 7.0
unknown,568,ALL AMERICAN | 14.0
unknown,569,LONESTAR | 14.0
unknown,570,BECKWITH | 14.0
unknown,571,CA-WSF-22000274 GRAYSON | 4.0
unknown,572,SIXTY | 18.0
unknown,573,WILLOW 9 | 15.0
unknown,574,WILLOW 8 | 14.0
unknown,575,FURY | 14.0
unknown,576,WOLFSEN | 10.0
unknown,577,POINT | 10.0
unknown,578,SANDY | 10.0
unknown,579,FIVE | 14.0
unknown,580,HOWARD 2 | 9.0
unknown,581,LYNN | 14.0
unknown,582,ANA | 14.0
unknown,583,CHAMBERS | 14.0
unknown,584,MOON | 14.0
unknown,585,TEXAS | 14.0
unknown,586,ALEX | 14.0
unknown,587,TULARE | 10.0
unknown,588,RIVER | 4.0
unknown,589,LOST LAKE | 14.0
unknown,590,CALVERT | 18.0
unknown,591,MEISS | 5.0
unknown,592,REFUGE | 18.0
unknown,593,BONNY COMPLEX | 9.0
unknown,594,FREEDOM | 11.0
unknown,595,PANTHER RIDGE | 11.0
unknown,596,CHINA | 9.0
unknown,597,BUTANO | 1.0
unknown,598,BLOOM | 9.0
unknown,599,GUNNISON | 2.0
unknown,600,FARMINGTON | 14.0
unknown,601,TURNOUT | 18.0
unknown,602,KIRK | 9.0
unknown,603,TOMKI | 14.0
